PCE_max,Voc ,Jsc ,FF,HOMO ,LUMO ,Bandgap,Eloss,Nickname,smiles
5.33,0.89,8.5,0.71,5.36,2.83,1.9,1.01,PPDT3,CCCCCCC(CCCC)Cn1c(=O)c2cc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc2c2sc(C)cc21
0.95,0.86,3.5,0.32,5.59,2.77,2.03,1.17,PPDT4,CCCCCCc1cc(C)sc1-c1sc(-c2cc3c(=O)n(CC(CCCC)CCCCCC)c4cc(C)sc4c3s2)cc1CCCCCC
2.57,0.75,8.47,0.41,5.39,2.87,1.82,1.07,PPDT5,CCCCCCCC[Si]1(CCCCCCCC)c2cc(C)sc2-c2sc(-c3cc4c(=O)n(CC(CCCC)CCCCCC)c5cc(C)sc5c4s3)cc21
2.27,0.56,7.5,0.49,5,3.27,1.73,1.17,PSOxTT,CCCCCCCCOc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CCCCCCCC)CCCCCCCC)cc3OCCCCCCCC)nc2s1
4.18,0.62,10.2,0.65,5.1,3.31,1.79,1.17,PSOTT,CCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CCCCCCCC)CCCCCCCC)cc3CCCCCCCC)nc2s1
5.06,0.65,12.6,0.61,5.1,3.3,1.82,1.17,PSEHTT,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(C[C@H](CC)CCCC)C[C@H](CC)CCCC)cc3C[C@H](CC)CCCC)nc2s1
5.05,0.89,10.37,0.55,5.53,2.68,1.98,1.09,PBDT-BDTP (P1),CCCCCCCCCC[C@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(=O)n(C[C@H](CCCCCCCC)CCCCCCCCCC)c5cc(C)sc5c4s3)sc2c2sc(-c3cc4c(OC[C@H](CC)CCCC)c5sc(C)cc5c(OC[C@@H](CC)CCCC)c4s3)cc21
6.76,0.91,9.96,0.75,5.51,2.8,1.8,0.89,PS-BDTP (P2),CCCCCCCCCC[C@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(=O)n(C[C@H](CCCCCCCC)CCCCCCCCCC)c5cc(C)sc5c4s3)sc2c2scc(-c3ccc(C)[se]3)c21
6.84,0.93,10.4,0.71,5.38,3.37,2.02,1.09,PDTPO-BDTO,CCCCCCCCCC[C@@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(OC[C@H](CC)CCCC)c5sc(C)cc5c(OC[C@H](CC)CCCC)c4s3)sc2c2sc(C)cc21
6.84,0.96,10.1,0.71,5.44,3.55,1.98,1.02,PDTPO-BDTT,CCCCCCCCCC[C@@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(-c5ccc(C[C@H](CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc2c2sc(C)cc21
9.13,0.96,12.59,0.76,5.52,2.74,1.86,0.9,PThBDTP,CCCCCCCCCC[C@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(=O)n(C[C@H](CCCCCCCC)CCCCCCCCCC)c5cc(C)sc5c4s3)sc2c2scc(-c3ccc(C)s3)c21
2.64,0.91,7.2,0.4,5.58,3.55,2.17,1.26,PFTTz,CCCCCCCCc1nc2c(-c3ccc4c(c3)C(CCCCCC)(CCCCCC)c3cc(C)ccc3-4)sc(C)c2s1
0.71,0.76,2.27,0.41,5.46,3.56,2.11,1.35,PCTTz,CCCCCCCCc1nc2c(-c3ccc4c5ccc(C)cc5n(C(CCCCCC)CCCCCC)c4c3)sc(C)c2s1
1.41,0.52,4.64,0.58,5.24,3.57,1.73,1.21,PBTTz,CCCCCCCCc1nc2c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c2s1
0.97,0.98,3.25,0.31,5.49,3.46,1.97,0.99,PIFTBT6,CCCCCCC1(CCCCCC)c2cc(C)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s2)cc1C3(CCCCCC)CCCCCC
2.44,1,6.1,0.4,5.45,3.36,2,1,PIFTBT10,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(C)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s2)cc1C3(CCCCCCCCCC)CCCCCCCCCC
3.04,1,7.57,0.4,5.47,3.44,1.97,0.97,PIFDTQ10,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(C)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(CCCCCCCCCC)CCCCCCCCCC
4.5,1.04,10.3,0.42,5.45,3.45,1.96,0.92,P3FTBT6,CCCCCCC1(CCCCCC)c2cc(-c3ccc(C)cc3)ccc2-c2cc3c(cc21)-c1cc2c(cc1C3(CCCCCC)CCCCCC)-c1ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc1C2(CCCCCC)CCCCCC
5.92,0.94,12.51,0.5,5.48,3.66,1.82,0.88,PITBT,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3ccc(C)c4nsnc34)cc21
9.14,0.9,15.36,0.66,5.5,3.68,1.8,0.9,PITFBT,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3c(F)cc(C)c4nsnc34)cc21
5.4,0.81,9.8,0.69,5.21,3.35,1.95,1.14,HXS-1,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1
1.82,1.07,4.72,0.36,5.71,3.74,2.05,0.98,PCDTTPD,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(CCCCCCCC)C5=O)s3)cc21
0.14,1.01,0.56,0.25,5.47,3.39,2.21,1.2,PCDTTPD-ic,CCCCCCCCc1cc(-c2sc(-c3cc(CCCCCCCC)c(-c4ccc5c6ccc(C)cc6n(C(CCCCCCCC)CCCCCCCC)c5c4)s3)c3c2C(=O)N(CCCCCCCC)C3=O)sc1C
0.13,1,0.35,0.39,5.5,3.5,2.06,1.06,PCDTTPD-C6C8,CCCCCCCCC(CCCCCC)CN1C(=O)c2c(-c3ccc(C)s3)sc(-c3ccc(-c4ccc5c6ccc(C)cc6n(C(CCCCCCCC)CCCCCCCC)c5c4)s3)c2C1=O
1.14,0.94,2.7,0.45,5.72,3.69,2.03,1.09,PCTTPD,CCCCCCCCC(CCCCCC)CN1C(=O)c2c(-c3ccc(C)s3)sc(-c3ccc(-c4ccc5c6ccc(C)cc6n(C(CCCCCCCC)CCCCCCCC)c5c4)s3)c2C1=O
1.25,0.9,3.86,0.36,5.67,3.65,2.02,1.12,PCTTTPD,CCCCCCCCC(CCCCCC)CN1C(=O)c2c(-c3cc4sc(C)cc4s3)sc(-c3cc4sc(-c5ccc6c7ccc(C)cc7n(C(CCCCCCCC)CCCCCCCC)c6c5)cc4s3)c2C1=O
3.42,0.86,7.79,0.51,5.57,3.66,1.91,1.05,PCBTTPD,CCCCCCCCC(CCCCCC)CN1C(=O)c2c(-c3ccc(-c4ccc(C)s4)s3)sc(-c3ccc(-c4ccc(-c5ccc6c7ccc(C)cc7n(C(CCCCCCCC)CCCCCCCC)c6c5)s4)s3)c2C1=O
2.63,0.88,7.13,0.42,5.31,3.42,1.89,1.01,PTTDBC-PhQC8,CCCCCCc1cc2c3cc(C)sc3c3cc4c(cc3c2s1)c1cc2c(cc1n4CCCCCC)c1scc(-c3ccc(C)c4nc(-c5cccc(OCC(CC)CCCC)c5)c(-c5cccc(OCC(CC)CCCC)c5)nc34)c1c1cc(CCCCCC)sc21
4.5,0.93,8.78,0.55,5.35,3.41,1.94,1.01,PTTDBC-BTC12,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2csc3c4cc5c(cc4c4sc(CCCCCC)cc4c23)c2cc3c(cc2n5CCCCCC)c2sc(C)cc2c2cc(CCCCCC)sc23)c2nsnc2c1C
2.45,0.88,5.77,0.44,5.41,3.67,1.9,1.02,PC1,CCCCCCC1(CCCCCC)c2cc(C)ccc2-c2cc3c(cc21)c1cc2c(cc1n3CC(CC)CCCC)-c1ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nsnc45)s3)cc1C2(CCCCCC)CCCCCC
7.26,0.94,12.84,0.59,5.43,3.56,2.01,1.07,PC2,CCCCCCC1(CCCCCC)c2cc(C)ccc2-c2cc3c(cc21)c1cc2c(cc1n3CC)-c1ccc(-c3ccc(-c4c(OCCCC)c(OCCCC)c(-c5ccc(C)s5)c5nsnc45)s3)cc1C2(CCCCCC)CCCCCC
6.68,0.93,11.18,0.63,5.44,3.65,1.97,1.04,PC3,CCCCCCC1(CCCCCC)c2cc(C)ccc2-c2cc3c(cc21)c1cc2c(cc1n3CC(CC)CCCC)-c1ccc(-c3ccc(-c4c(OCCCC)c(OCCCC)c(-c5ccc(C)s5)c5nsnc45)s3)cc1C2(CCCCCC)CCCCCC
7.39,0.93,14.11,0.56,5.32,3.3,1.96,1.03,HD-PDFC-DTBT,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(cc3F)c3cc(F)c(C)cc3n4CC(CCCCCC)CCCCCCCC)s2)c2nsnc2c1-c1ccc(C)s1
2.23,0.96,4.4,0.53,5.4,3.28,2.12,1.16,PAn-BTBT (P1),CCCCCCCCOc1cc2c(-c3ccc(C)cc3)c3cc(OCCCCCCCC)c(OCCCCCCCC)cc3c(-c3ccc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(C)s6)c6nsnc56)s4)cc3)c2cc1OCCCCCCCC
1.42,0.89,3,0.53,5.3,3.19,2.11,1.22,PAn-BTBT (P2),CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5ccc(-c6c7cc(OCCCCCCCC)c(OCCCCCCCC)cc7c(-c7ccc(C)cc7)c7cc(OCCCCCCCC)c(OCCCCCCCC)cc67)cc5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1
3.5,0.82,10.2,0.41,5.4,2.91,1.85,1.03,PTP27-DBT,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c(c3)c3ccc(C)cc3c3c(C(=O)OCC(CC)CCCC)sc(C(=O)OCC(CC)CCCC)c43)s2)c2nsnc2c1-c1ccc(C)s1
0.9,0.79,4.4,0.27,5.7,3.18,1.85,1.06,PTP36-DBT,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5c5c(C(=O)OCC(CC)CCCC)sc(C(=O)OCC(CC)CCCC)c5c4c3)s2)c2nsnc2c1-c1ccc(C)s1
1.5,0.8,3.43,0.55,5.36,3.02,2.1,1.3,PPhIBDT-C12 (P2),CCCCCCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5c4C(=O)N(CC(CC)CCCC)C5=O)s3)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12
3.7,0.89,7.01,0.59,5.57,3.07,2.07,1.18,PPhIBDT-ThEH (P3),CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6c5C(=O)N(CC(CC)CCCC)C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1
2.05,0.71,5.85,0.49,5.42,3.22,2.22,1.51,PBEHTT,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4ccc5c(c4)[Si](CC(CC)CCCC)(CC(CC)CCCC)c4cc(C)ccc4-5)cc3C[C@H](CC)CCCC)nc2s1
1.19,0.53,5.02,0.39,5.4,3.53,1.8,1.27,PTTEHV,C/C=C/c1cc(C[C@H](CC)CCCC)c(-c2nc3sc(-c4sc(C)cc4CC(CC)CCCC)nc3s2)s1
0.87,0.69,5,0.25,5.32,3.44,1.84,1.15,PCEHTT,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4ccc5c6ccc(C)cc6n(C(CC(CC)CCCC)CC(CC)CCCC)c5c4)cc3C[C@H](CC)CCCC)nc2s1
1.03,0.75,5.3,0.25,5.16,3.34,1.82,1.07,PBTOTT,CCCCCCCCc1cc(-c2cc(CCCCCCCC)c(-c3cc(CCCCCCCC)c(-c4nc5sc(-c6sc(C)cc6CCCCCCCC)nc5s4)s3)s2)sc1C
2.41,0.73,9.68,0.34,5.01,3.3,1.85,1.12,PCPEHTT,CCCCC(CC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4C5(CC(CC)CCCC)C[C@H](CC)CCCC)cc3C[C@@H](CC)CCCC)nc2s1
0.94,0.53,5.54,0.31,4.91,2.77,1.8,1.27,PBTOxTT,CCCCCCCCOc1cc(C)sc1-c1nc2sc(-c3sc(-c4sc(-c5cc(CCCCCCCC)c(C)s5)cc4CCCCCCCC)cc3OCCCCCCCC)nc2s1
0.82,0.5,4.41,0.36,4.91,3.18,1.73,1.23,PPEHTT,CCCCCCCCC(CCCCCC)Cn1c2cc(C)sc2c2sc(-c3cc(C[C@H](CC)CCCC)c(-c4nc5sc(-c6sc(C)cc6CC(CC)CCCC)nc5s4)s3)cc21
5.71,0.74,10.8,0.7,5.65,3.68,1.97,1.23,PDEHTT,CCCCCCC(CCCC)COc1c2cc(C)sc2c(OC[C@H](CCCC)CCCCCC)c2cc(-c3cc(C[C@H](CC)CCCC)c(-c4nc5sc(-c6sc(C)cc6CC(CC)CCCC)nc5s4)s3)sc12
4.54,0.92,8.19,0.6,5.41,3.28,2.13,1.21,POAPPO-BDT (Pa),CCCCCCC(CCCC)COc1c2cc(C)sc2c(OC[C@H](CCCC)CCCCCC)c2cc(-c3ccc(-c4cc5c(=O)n(C[C@@H](CCCC)CCCCCC)c6cc(-c7ccc(C)s7)cc7c(=O)n(CC(CCCC)CCCCCC)c(c4)c5c76)s3)sc12
0.46,0.66,1.51,0.46,5.34,3.15,2.19,1.53,POAPPO-BDT (Pb),CCCCCCC(CCCC)COc1nc2cc(-c3ccc(C)s3)cc3c(=O)n(CC(CCCC)CCCCCC)c4cc(-c5ccc(-c6cc7c(OC[C@H](CCCC)CCCCCC)c8sc(C)cc8c(OCC(CCCC)CCCCCC)c7s6)s5)cc1c4c23
2.15,0.66,5.46,0.6,5.3,3.09,2.21,1.55,POAPPO-BDT (Pc),CCCCCCC(CCCC)COc1nc2cc(-c3ccc(-c4cc5c(OC[C@H](CCCC)CCCCCC)c6sc(C)cc6c(OCC(CCCC)CCCCCC)c5s4)s3)cc3c(OCC(CCCC)CCCCCC)nc4cc(-c5ccc(C)s5)cc1c4c23
7.1,0.93,10.89,0.7,5.56,3.75,1.8,0.87,PBDTTPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OC[C@@H](CC)CCCC)c4s3)c2C1=O
4,0.69,11.54,0.5,5.3,3.5,1.8,1.11,PNDTTPD (P1),CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3cc4c(OC[C@@H](CC)CCCC)c5cc6sc(C)cc6c(OC[C@@H](CC)CCCC)c5cc4s3)c2C1=O
3.4,0.78,8.37,0.52,5.47,3.59,1.88,1.1,PBDTTPD (P2),CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3cc4c(OC[C@@H](CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2C1=O
4.2,0.87,9.1,0.54,5.43,3.4,1.82,0.95,PBDTTPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OC[C@@H](CC)CCCC)c4s3)c2C1=O
7.59,1,14.32,0.52,5.62,3.43,2.04,1.04,PBDTT-LTPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3sc(-c4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(C[C@H](CC)CCCC)s7)c6s5)c5c4C(=O)N(CCCCCCCC)C5=O)c(CCCCCC)c3CCCCCC)c2C1=O
4.8,0.89,8.1,0.67,5.35,3.51,1.9,1.01,PTAC-TPD (P1),CCCCCCCCCCCCC(CCCCCCCCCC)COc1nc2ccc3c4cc(-c5ccc(-c6sc(-c7ccc(C)s7)c7c6C(=O)N(CC(CC)CCCC)C7=O)s5)sc4c4c(OCC(CCCCCCCCCC)CCCCCCCCCCCC)nc5ccc6c7cc(C)sc7c1c1c2c3c4c5c61
3,0.9,7.8,0.42,4.85,2.76,1.78,0.88,PBDT(F)TPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(C[C@@H](CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)c2C1=O
6.5,1,11.1,0.58,5.01,2.76,1.88,0.88,PBDT(T)TPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(C[C@@H](CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O
4.7,0.98,8.7,0.48,4.98,2.76,1.85,0.87,PBDT(S)TPD,CCCCCCCCN1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(C[C@@H](CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)c2C1=O
3.35,0.88,7.42,0.51,5.21,3.31,1.9,1.02,PBDT-TZNT (P1),CCCCCCCCn1nc2c(-c3ccc(C)s3)cc3c(cc(-c4ccc(-c5cc6c(-c7ccc(CC(CCCC)CCCCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CCCC)CCCCCC)s7)c6s5)s4)c4nn(CCCCCCCC)nc43)c2n1
7.11,0.92,11.71,0.65,5.23,3.3,1.93,1.01,PBDT-TZNT (P2),CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5cc6c(cc(-c7ccc(C)s7)c7nn(CCCCCCCC)nc76)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC
1.5,0.84,3.59,0.49,5.21,3.31,1.9,1.06,PBDT-TZNT (P3),CCCCCCCCCCc1cc(CCCCCCCCCC)c(-c2c3cc(-c4ccc(-c5cc6c(cc(-c7ccc(C)s7)c7nn(CCCCCCCC)nc76)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3sc(CCCCCCCCCC)cc3CCCCCCCCCC)c3cc(C)sc23)s1
6.25,0.91,11.81,0.58,5.38,3.28,1.83,0.92,PBDTFBZO,CCCCCCC(CCCC)CSc1c2cc(C)sc2c(SC[C@@H](CCCC)CCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc(C)o5)c5nn(CC(CCCC)CCCCCC)nc45)o3)sc12
7.74,0.88,12.36,0.71,5.32,3.26,1.81,0.93,PBDTFBZS,CCCCCCC(CCCC)CSc1c2cc(C)sc2c(SC[C@@H](CCCC)CCCCCC)c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc12
5.75,0.85,8.89,0.76,5.45,3.45,2,1.15,FTAZ,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
4.75,0.96,8.33,0.6,5.66,3.73,1.93,0.97,PrzTAZ,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4nnc(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
7.52,0.97,10.92,0.71,5.67,3.83,1.84,0.87,PBnDT?PyCNTAZ,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4nc(C#N)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
5.53,1.03,8.97,0.6,5.73,3.96,1.77,0.74,CNTAZ,CCCCCCC(CCCC)CCc1c2cc(-c3ccc(-c4c(C#N)c(C#N)c(-c5ccc(C)s5)c5nn(CC(CCCC)CCCCCC)nc45)s3)sc2c(CCC(CCCC)CCCCCC)c2cc(C)sc12
8.24,0.89,12.67,0.73,5.5,3.69,1.81,0.92,PTFBDT-BZS,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1
5.67,0.96,9.24,0.64,5.62,3.8,1.82,0.86,PTFBDT-BZO,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)c(F)c5)c4s3)s2)c2nonc2c1-c1ccc(C)s1
8.63,0.87,13.5,0.74,5.34,3.46,1.81,0.94,PTZBIBDT,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2ccc(C)s2)C1=O
3.25,0.93,5.9,0.59,5.56,3.49,2.07,1.14,PV-BDTC1,CCCCCCC(CCCC)COC(=O)c1cc2c(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c3sc(C(=O)OCC(CCCC)CCCCCC)cc3c(-c3ccc(C)s3)c2s1
7.49,1.03,10.37,0.7,5.67,3.58,2.09,1.06,PV-BDTC2,CCCCCCC(CCCC)COC(=O)c1cc2c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3sc(C(=O)OCC(CCCC)CCCCCC)cc3c(-c3ccc(C)s3)c2s1
9.2,0.98,12.7,0.74,5.45,3.65,1.8,0.82,PBDTBDD (PM6),CCCCC(CC)Cc1cc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3cc(CC(CC)CCCC)c(F)s3)c3cc(C)sc23)sc1F
2.43,0.58,7.41,0.57,5.13,3.16,1.88,1.3,PBDT-HBTA,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1
6,0.75,11.9,0.67,5.26,3.08,1.91,1.16,PBDT-FBTA,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1
4.01,0.83,9.6,0.5,5.31,3.45,1.74,0.91,PBDT(O)-T1,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)o3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)o1
7.48,0.9,12.3,0.71,5.52,3.56,1.81,0.91,PBDT(S)-T1,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)s3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)s1
8.52,0.92,13.1,0.72,5.53,3.59,1.8,0.88,PBDT(Se)-T1,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)[se]3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)[se]1
7.4,0.89,12.3,0.68,5.52,3.56,1.8,0.91,PBDT(S)-T1,CCCCC(CC)CSc1ccc(-c2c3cc(C)sc3c(-c3ccc(SC[C@@H](CC)CCCC)s3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)s1
9.2,0.98,12.9,0.72,5.65,3.55,1.81,0.83,POBDT(S)-T1,CCCCC(CC)CSc1sc(-c2c3cc(C)sc3c(-c3cc(OC)c(SC[C@@H](CC)CCCC)s3)c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc23)cc1OC
5.2,0.87,9.4,0.64,5.51,3.52,1.82,0.95,PBDT-O1,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)oc(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(C)sc23)s1
9,0.91,13.7,0.75,5.53,3.57,1.81,0.9,PBDT-ST1,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(C)sc23)s1
8.3,0.86,13.1,0.75,5.46,3.53,1.8,0.94,PBDT-Se1,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(C[C@H](CC)CCCC)[se]c(C[C@H](CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(C)sc23)s1
9.74,0.92,14.11,0.75,5.4,3.4,1.85,0.93,PDBT-T1,CCCCCCCCc1ccc(-c2c3sc4cc(-c5ccc(-c6sc(-c7ccc(C)s7)c7c6C(=O)c6c(C[C@H](CC)CCCC)sc(C[C@H](CC)CCCC)c6C7=O)s5)sc4c3c(-c3ccc(CCCCCCCC)s3)c3sc4cc(C)sc4c23)s1
8.7,0.98,12.9,0.73,5.49,3.46,1.86,0.88,PBT1-MP,CCCCCCCC[C@H](CCCCCC)Cc1sc(C[C@@H](CCCCCC)CCCCCCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(SCC(C)C)s6)c6sc(C)cc6c(-c6ccc(SCC(C)C)s6)c5s4)s3)c1C2=O
